YearMonth,Revenue,Orders,Customers
2009-12,686654.16,1512,955
2010-01,557319.062,1011,720
2010-02,506371.066,1104,772
2010-03,699608.991,1524,1057
2010-04,594609.192,1329,942
2010-05,599985.79,1377,966
2010-06,639066.58,1497,1041
2010-07,591636.74,1381,928
2010-08,604242.65,1293,911
2010-09,831615.001,1689,1145
2010-10,1036680.0,2133,1497
2010-11,1172336.042,2587,1607
2010-12,884591.89,1400,885
2011-01,569445.04,987,741
2011-02,447137.35,997,758
2011-03,595500.76,1321,974
2011-04,469200.361,1149,856
2011-05,678594.56,1555,1056
2011-06,661213.69,1393,991
2011-07,600091.011,1331,949
2011-08,645343.9,1280,935
2011-09,952838.382,1755,1266
2011-10,1039318.79,1929,1364
2011-11,1161817.3800000001,2657,1664
2011-12,518210.79,778,615
